,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Acapulco,MX,16.8634,-99.8901,80.42,78,1,3.44,clear sky
301,Birjand,IR,32.8663,59.2211,37.87,65,0,4.61,clear sky
302,Naze,JP,28.3667,129.4833,74.32,70,10,16.51,clear sky
303,Prachuap Khiri Khan,TH,12.2167,99.75,78.69,82,100,6.8,overcast clouds
304,Pisco,PE,-13.7,-76.2167,64.45,82,0,13.8,clear sky
305,Maniitsoq,GL,65.4167,-52.9,32.4,95,100,15.79,snow
306,Amahai,ID,-3.3333,128.9167,85.71,67,94,5.84,overcast clouds
307,Mlonggo,ID,-6.5333,110.7,85.89,64,75,2.39,broken clouds
308,Aksu,CN,41.1231,80.2644,27.12,45,32,0.65,scattered clouds
309,Ambilobe,MG,-13.2,49.05,74.61,81,8,4.47,clear sky
310,Umm Kaddadah,SD,13.6017,26.6876,74.75,31,6,15.86,clear sky
311,San Cristobal,VE,7.7669,-72.225,69.98,94,85,1.39,overcast clouds
312,Amuntai,ID,-2.4177,115.2494,83.17,74,94,2.89,overcast clouds
313,Mehamn,NO,71.0357,27.8492,16.88,87,57,17.52,broken clouds
314,Townsville,AU,-19.25,146.8,83.28,74,75,14.97,broken clouds
315,Moyo,UG,3.6609,31.7247,66.04,85,100,1.74,overcast clouds
316,Monywa,MM,22.1167,95.1333,73.92,64,56,11.18,broken clouds
317,Kavaratti,IN,10.5669,72.642,81.41,77,100,18.19,overcast clouds
318,Storforshei,NO,66.4043,14.5233,19.65,92,100,5.26,overcast clouds
319,Sinnamary,GF,5.3833,-52.95,77.31,90,52,7.29,broken clouds
320,Am Timan,TD,11.0297,20.2827,75.76,24,69,5.95,broken clouds
321,Ihosy,MG,-22.4,46.1167,66.52,82,47,4.83,scattered clouds
322,Caceres,ES,39.522,-6.3748,37.8,88,56,1.48,broken clouds
323,Lalmohan,BD,22.3384,90.7419,72.52,59,11,9.01,few clouds
324,Batagay-Alyta,RU,67.8006,130.4114,-24.48,97,98,3.85,overcast clouds
325,Monrovia,LR,6.3005,-10.7969,79.0,82,100,5.68,light rain
326,Novodolinskiy,KZ,49.705,72.7047,21.78,80,100,4.27,overcast clouds
327,Coos Bay,US,43.3665,-124.2179,54.95,100,90,0.0,fog
328,Teya,RU,60.3778,92.6267,17.15,88,100,13.96,overcast clouds
329,Great Falls,US,47.5002,-111.3008,43.66,73,1,1.01,clear sky
330,Kilindoni,TZ,-7.9139,39.6668,80.29,79,21,6.64,light rain
331,Mananara,MG,-16.1667,49.7667,75.15,88,86,3.02,light rain
332,Keetmanshoop,NA,-26.5833,18.1333,57.63,49,0,9.71,clear sky
333,Pevek,RU,69.7008,170.3133,-8.63,99,69,4.09,broken clouds
334,Cidreira,BR,-30.1811,-50.2056,70.65,69,27,12.93,scattered clouds
335,Burnie,AU,-41.0667,145.9167,63.09,65,4,8.99,clear sky
336,Urucara,BR,-2.5364,-57.76,77.36,86,98,1.77,overcast clouds
337,Atar,MR,20.5169,-13.0499,62.38,30,79,9.66,broken clouds
338,Susanino,RU,58.1461,41.5872,34.95,98,100,14.9,light snow
339,Phan Thiet,VN,10.9333,108.1,82.18,78,97,8.86,overcast clouds
340,Sungairaya,ID,0.7,108.9,85.35,61,100,1.5,overcast clouds
341,Luanda,AO,-8.8368,13.2343,77.23,85,99,8.86,overcast clouds
342,Marawi,PH,7.9986,124.2928,75.65,67,84,4.27,broken clouds
343,Plettenberg Bay,ZA,-34.0527,23.3716,59.29,69,34,6.46,scattered clouds
344,Fairbanks,US,64.8378,-147.7164,-12.41,75,1,0.0,clear sky
345,Goure,NE,13.9835,10.2704,68.49,15,59,9.62,broken clouds
